zipcode,all_reviews
10017,"This place is absolutely fantastic I love the service and the food. It was a few of us and we had the burger  with fries and the pizza, and it was... TLDR: Nice, quiet old fashioned bar with grisly seen-it-all bartenders. I'll definitely come back again! Overall rating: B+


The bar is inside the... If I could give this place ZERO starts I would. As we walked into the area the man said did you need help? To which we asked if they served a full menu, he..."
10002,"Really fun, unique and awesome bar.

I definitely visit for the atmosphere but the drinks are cool too. They aren't cheap and are quite small but the tea... This is one cool speak easy! I love the red velvet curtains, the tea cups in which my $$ cocktails are served in also makes the experience quite fun, though... So I came back, but for an event called Poetry Brothel (amazing combination of poetry, burlesque, and music that's become one of my favorite monthly events..."
10003,"Aziza Cafe is such a nice hookah lounge with a great music selection. And the owner was super nice and helpful. Definitely will stop by again. Smooth and relaxing vibe in this place. The hookah flavors are great and the music is great as well. I didn't get the chance to order food but it smelled great. Super place for hookah - super smooooooooooth!  I loved the apple mint. 
 And the drinks are good too, and you should know you're required to get them with..."
10018,"Alright prices although on the pricier side. Friendly staff and didn't wait too long but it was also a Thursday at 2-3am. Still a few people though, mostly... Not very good. The service was so so and not bad but the food was not good. It was late so I opted for the Buffalo chicken wings. They were moist on the... Good enough, very considerate and nice service, and decent food but I can't say it was the best meal I had in New York. Everything we ate was good enough..."
10018,"Calle Dao was great! Highly recommend - especially for happy hour!!
 

We had the Chicken wings, Yucca Fires (thanks to yelp :)); Tiger Salad and seafood... I'm a big fan of fusion and I was meaning to try this place as it's close to work.  I stopped by here for happy hour and the place was packed minus two... This place has unacceptable service. Ambiance and food is great (hence 2 stars), but prepared to be embarrassed.

Details:
Went to lunch here with group of..."
10022,"So much fun! The performers and staff were absolutely fabulous. The show was wonderful, funny, the crowd was into it. I attended for a bachelorette party,... This is my 2nd time at Lips and we came to celebrate my birthday. Everything was great from the food (superb!) to the drinks (amazing!) and to the girls... What a fun, energetic, and entertaining show! I came here for the first time for a Sunday Brunch. 

DRINKS: We were seated and our server came to ask us if..."
10012,"Sweet and vicious is a fun bar with great drinks, especially their signature margaritas. I recently had a situation where my jacket was mistakenly taken by... Walked over here from dinner in Little Italy. Nice place to get the night started. Age-wise it might be a early-mid 20's vibe in there. More of a pull up... Loved this bar! I had never been, but it's a favorite among a couple of my friends. We had another friend in town and decided to meet up here earlier in the..."
10001,"Came here for my birthday, they had a great selection of English and Korean music! You will have to ask them to switch the machines halfway through if you... This place made for a really fun time! Came here with a group of like 10 people. The place is on the 6th floor of a nondescript building. It's in the middle... This is a great late night karaoke spot in Koreatown as it opens really late and are lenient about their hours. While it closes at 4am, they say they..."
10016,"Looks like your typical pub, but it is so much more. Besides the great TV's and Tap beer selections, the bartenders and servers, the food is amazing. My... What a cool place for happy hour or to watch sporting events. They have a ton of tv's and no matter where you are sitting you could probably see 2-3 tv's.... Went in for a quick dinner, not many people were in music was fairly loud. Food and beer were okay nothing great. Just a very mediocre experience."
10010,"This is a lovely spot for some drinks even when the temperature is still lower than I would like. We grabbed a couple of hightop stools and get 2 wine... Here's the thing.

I was hosting an event here and had a reservation for 6. Three of the six people flaked (ugh). Instead of just seating the three of us at... Having enjoyed Serra last year decided upon a repeat visit. It was good but not as much as last year!

Maybe I was grumpy from the people downstairs in..."
10019,"This place is a fun and interesting maze. I feel like I'm in a super cool, detailed, and photogenic pop-up museum! Every room and hallway is craftily... Been here for a Yelp event before (which was super fun!) but came back for a meetup. Who knew that all those karaoke TVs would also be good for... RPM is a hidden gem! We had such a great time here we ended up staying 4x longer than we planned. 

RPM is an amazing spot for karaoke - especially if you..."
10036,"If you are not into the club scene but want to hear great music.. hip hop, and top 40 club music this is your spot. More of a dive bar concept with a super... I was in NYC and it started raining so we stopped off at this bar/restaurant.  When we first walked in, we thought it would not be so great since there were... Dimly lit, quiet (at the time we were there), cool Irish bar. 
Bar is decent sized but around the bar there are plenty of tables to grab a bite. We stopped..."
10018,Super cozy and approachable. This is the kind of bar I could spend hours at. Food is great and non fussy. The cocktail menu has a lot of really surprising... Cute new spot! I must say the double smash burger and fries chicken sliders were my favorite! Apparently happy hour is 50% off the whole menu too! Would... I came to the launch party of this restaurant and the service was AMAZING!! I Absolutely loved the vibe of the place not to mention the food and drinks were...
10003,a cool new venue (pop up space?) although there are only 4 stalls in the bathroom. The temperature regulation on the dance floor is amazing I was almost... No Review No Review
10016,"We came with my boyfriend to NYC for only two nights and we were so happy to choose Lumaca as the place for our farewell dinner. The staff is super friendly... The restaurant was pretty empty on a saturday night. Service was not the best, seemed a bit disjointed and not that warm or friendly. There were no sharing... The food was unbelievable! We had the 
CALAMARI IN UMIDO and an amazing salad to start, the Bronzino was perfect for dinner along with the 
CAPESANTE IN..."
10002,Bar inside the CitizenM hotel. You'll have to enter the hotel and go down the stairs to get here. They have a special Heineken beer called H41 on draft and... Amazing hotel.So different we love it. Rooftop bar is a must see. Check out the museum of street art! So much fun. No Review
10016,"Really really good happy hour, quick service, friendly staff, and spacious for a bar in nyc.

Watch out if you gotta go to the bathroom tho. U gotta go... Nice average divey pub. Wandered in when I was in the area because I had time to kill. Searched Yelp quickly for a bar and this spot had good reviews. 

Sat... Awww my neighborhood bar! Literally right next door to my former apartment building :))) I've been here twice I think, once with coworkers. Bar on the right..."
10013,"This review is for the weekend nights going out experience! I have Tropical 128 as the consistent place to go to for big groups or when people feel like... Tried a pulsd deal for here for 2...$29 food and drinks. Seemed too good to be true and unfortunately, yes it was. First, we saw the open kitchen cook... Nope nope nope.

Came in with a large group after an event only because the space was so big. It's massive, on a weekday you pretty much have the back party..."
10016,"Clearly a neighborhood GEM
Thanks for the hospitality guys
No detail overlooked...
Keep up the good work This is a speakeasy located behind a metal door at the rear of the Devocion coffee shop. There are big  sports screens surrounding the bar area, so it... J. Bespoke captures the magical feeling we used to get when speakeasies were a novelty. ""Whoa a secret door in the back of a nondescript business opens up..."
10022,"Note: this is for the lounge (Le Chalet) that is accessible via Sak's on the 8th Floor or via the restaurant going down the stairs.  I didn't try the... Wanna feel like a cozy badass who perhaps owns a hunting lodge in France? Maybe you've got serious ""Gaston"" vibes, a la beauty & the beast? This joint is... My husband and I had a fantastic time at Le Chalet yesterday. The atmosphere is similar to a cozy Swiss chalet and the service, food and drinks are..."
10003,"The street was dark with a few things going on that seemed a bit clandestine and hushed.  After all it was a Thursday night.

KGB bar neon sign glowed alone... I came here for a fundraising dinner event.  It's not a large space but the decor is wonderful and service was top notch.  They have a stage tucked into the... Places like the Red Room are increasingly rare as the East Villages changes. I was fortunate to come here at the invitation of a friend who is active in the..."
10013,Great meal. I had a cup of the Cowboy Chili which was the perfect portion for an appetizer. I also had the spinach salad with toasted goat cheese which was... Used to come here for lunch often but not so much the last couple of years.  Heard they had a fried chicken meal every Fridays bow and that it was really... Great LATE NIGHT FIND. I had a CONFIRMED YELP DINNER 11:30 PM RESERVATION for a restaurant across the street (because we were going there after a Rock show...
10014,"I've always been a big fan of Lelabar and the incredible ambiance, happy hour deals, and food that comes here. I've been here at least 4-5 times and each... Came here during happy hour with my friend around 5:30PM and we got seated pretty quickly with the last two seats available near the oval bar. It gets... Was going to a nearby bar but they don't served food so popped in: 

The wine was good quality and vast selection.  This night we had a nice Malbac. The..."
10022,"This is a nice spot in the middle of a lobby of an office building. My expectations were very off when I walked in! Ha! They have a great selection of... Got to come here with my brother in law for a quick drink. This is a fancy, beautiful cocktail lounge with a younger demographic. Really nice for couples... Interesting spot, smack dab in the lobby of a major 3rd Ave office building.  Stopped in for a drink and was impressed.  Nice atmosphere and plenty of seats..."
10001,"Had a great time at bar Stanley. Went to Zodiac upstairs for lunch with friends, the. Stopped at Bar Stanley to check it out. It's in the men's section of... This was my first time seeing a bar tucked inside a department store! With views of the Vessel across the street, Bar Stanley was definitely a cool spot for... Come for the menswear, stay for the refreshments and glorious service by Asa, Alfonzo & Paddy's whole fabulous team!!

This delightful, upscale spot is..."
10001,"I have to be honest, I didn't know this place existed until my sister told me about it and suggested it for dinner. Located above another korean restaurant,... It's a pretty cool place to come and chill with friends. We came here on a Thursday night and it wasn't busy. I'd recommend sitting by the window so you can... What I ordered |
watermelon soju
yogurt soju

Taste | watermelon soju had fresh chunks of watermelon which was a plus! i liked the yogurt soju more, this..."
10011,"My favorite Mexican place in the city closed a few months back, and I've been trying to search Manhattan ever since for new spots that I could love equally.... Why write a review for takeout? Because it drives me nuts when I see no reviews in order to know whether they are open for take out/pick-up or not at this... How do I find myself in La Contenta so often? They're not in my neighborhood, or relatively close by. Yet, a few times per year (most often in January, for..."
10009,"Arrived on a weekday night and promptly seated. This is a place for smaller group. The vibe is good, ideal for a date spot. Was greeted by the owners. They... We came here on a Sunday night, after giving up having dinner in the West Village bc of crowded restaurants. We came here and there were plenty of free... I had a favorite Ethiopian restaurant in West Village, which recently closed, so this is what brought myself and a group of friends to Haile one Saturday..."
10001,"i like their song selection and the host was very attentive and super kind. the system is super modern and is in good condition! 

on top of this, if you... The real reason you go to Maru is to have an excuse to get a little fancier in Koreatown. Think a new-age design with pretty bass-thumpy DJing. Perfect for... In addition to a club that apparently is only on Friday and Saturday nights, they have a pretty cool karaoke lounge in the 4th floor. I clubbed here 3 times..."
10019,"Miserable experience. We brought tickets online for a night out with my friend. Not only did they keep a HUGE line of people waiting outside in 20 degree... This place.. Went to an event here and the event itself was fine. HOWEVER it could have been pulled off better if it was not at this venue for a couple of... I attended a DJ competition here and it is very spacious. From the sound system, flat screen TV, disco balls that hung from the ceiling to the 2 bars in the..."
10016,"We came to bar 114 on our first evening in NY. Our Amtrak arrived super late, and we wanted a drink and a snack, since food on the train was not worth... Giving this 5 stars for what it is.  Hotel restaurant with a great breakfast menu, exceptional service, and dishes prepared exactly as they should be.... Fantastic Manhattan and other crafted cocktails. A little bright for a bar/ lounge but it's right off the hotel lobby."
10018,"I have been all over the world traveling. I have been all over the country traveling in a hard rock band.

This is the best bar I ever went to. I really... Sketchy bar. You know how people's personalities change when they've had too much to drink ? That's happening here, esp as the evening progresses. Enter at... Great bartender niomi she was so wonderful and accommodating we enjoyed her company on our first visit here! She was a joy and entertaining!"
7302,"This place was OK overall. 
The view was beautiful and that is one of the biggest reasons anyone should come here. The ambinence makes it worth coming to... I was here with coworkers. Some got there first and had a card open for their drinks. When I arrived with  some of my teammates, the bartender asked us for... As I write this review I sit over looking New York City, filthy vodka martini in hand, DJ has the place vibing to late 90's R&B and the ambiance is..."
10021,"When NY reopens, this is the first place I'd go!!! Why? Well, you get to get dressed up and take off the pajamas you've been living in and actually see... So they have hookers at the bar. 
Overpriced drinks; Yes I know it's nyc. 
Watch timing of music when there's a cover fee. What a cool bar! After living in the city for 2 years and visiting multiple times a year, I finally made it to the Bemelmans bar. Super cool vibe! Looked..."
11249,"Great venue.  Loved the layout of the place, I felt like I was in a modern Noah's Ark with dope lighting.  Came here for a Sofar Music event to support the... Ehhh, this is an okay spot. I see what they were trying to do, but they really didn't hit the mark. It was definitely a club vibe, but they could have... I love kinfolk but two stars down because of this asshole bartender Carlito M. I ordered 3 mixed drinks and asked for a   beer when he got back. Instead of..."
10036,"Amazing Mimosas and Customer Service. 
All the way from Miami just for the breakfast here .
Julia is the Best ! We stopped into Lilly's to kill some time before catching a train.

Great bar food, better service. Cocktails were different and delicious. 

I recommend... My son and I were going to a play and I wanted to treat him to brunch prior. I looked on Yelp and saw this and great reviews! I made reservations and now it..."
10022,"Chic spot downstairs, kind of a surprise.  

A few weeks ago we took a long weekend in New York, again.  Every weekend trip up has at least a couple places... My new favorite spot for a date night or girls' night out! Tomi Jazz has delicious Japanese food and live jazz in an intimate speakeasy - all the... Hidden jazz gem in Midtown. To find the entrance, walk down the stairs at the address. Definitely make a reservation. 

The interior is cramped, but when..."
10003,"I was in here Super Bowl Sunday but way before the game around 2 pm. It was happy hour. However, they were already using plastic cups. Ok. No big... Bar None is named perfectly because it's literally...nothing. 

It's a complete dive/dump that's being held together by duct tape. You can tell it's seen... Ok- I'm not sure if my standards have changed or what, but I definitely no longer find this a 5 star bar. I popped in last night for a drink with friends..."
10018,"I came through here with a friends to watch an NFL playoff game.  Even though it's a soccer bar, there was a decent turn out, and we had a great time.... The definition of a sports bar. This place is massive with a bunch of tv's all over. They have ample bar seating as well as high top tables. I came with a... Awesome place. Staff were so cool and played good music. Well made menu. I had so much fun and would love to return again. If you come to the area I..."
10019,"I was looking for something to do with my daughter (12 going on 30) and I attended Saturday night's improv comedy show in Ocean Grove, N.J. and we both... Three of us (including my teenage niece) spent a very enjoyable evening at Comedy Sportz. The ensemble was very very funny, and we particularly enjoyed the... I was searching for activities to take my kids for a long weekend and came across this. It was the day of so I called and left a message. Someone returned..."
10028,"Nice quiet dinner spot on the Upper East side. The service was excellent! 

My favorite was the Mac and cheese and Brussel Sprouts. I came here after work on a Thursday night with my colleagues for drinks and dinner (we all got burgers). We couldn't be seated until the entire party... A group of friends and I recently came in for brunch for a birthday and had a really nice time! After we were seated our waitress took our drink orders and..."
10038,"A beautiful bar in the Beekman hotel in the financial district. A great venue to wind down post-work or after a tough day of being a tourist. 

Check out... This place is around the corner from me but I rarely go because it seems more of a business meeting place.

I met a friend for a drink last nite as she was... The Bar Room at Temple court was on my list of places to visit for drinks during our last trip to NYC, and I am glad we went, because the atmosphere is..."
10001,"Rating: 2.5/5

The 3 stars are literally because they have some amazing DJs here--today I had the pleasure of seeing Alan Walker perform--and because my... I expect cocktails to be expensive. However, water was $10 for THE TINIEST water bottle I ever f**king seen. Like half the size of a Poland spring water.... Pros: 

* the two stars are for the good DJs & music. We came on a Friday night featuring Cash Cash & I enjoyed the show a lot. Venue was a good setup for..."
10038,"We stopped here for refreshment on our way to check out the rejuvenated South Street Seaport and Pier 17.  The area was quite deserted on a late Thursday... This Beer Garden is Amazing! Really nice area with the Best Bartenders I've ever had. Honestly recommend this spot to anyone wanting to have a chill time!... Definitely seems like it was plopped in the middle of the seaport district in between Water and South streets, so while it may seem out of place it holds up..."
10002,"Whiskies galore! Or maybe whiskeys since we're in the US... No matter the spelling, Copper & Oak has what you need. And with their bright orange lighting... This place is legit!  Great upscale feel that is very sexy-date friendly, well educated bar staff.

What may be important to you...

1) this place is really... The color of the back-lighting is appropriate, because this is a room of liquid gold, particularly if what you're prospecting is brandy, mezcal, tequila,..."
10017,"A few of us stopped in here for a drink before heading across the street to Cipriani's for an event.  I was unsure considering all the negative reviews.... It was one of my coworkers last day of work so I decided to take him to a nearby bar for a celebratory send off!

The Lounge is located inside the Grand... Super expensive and not worth it. Appetizers weren't appetizing and drinks were just ok. Good wine list, but overpriced."
10038,"We were only visiting nyc and stumble to this place , Dive bar 200% and we love it , everything is cheaper than everywhere else plus our bartender was... Walk right on in to this well air conditioned bar just steps away from city hall.  The bikini clad bartenders will greet you with a smile and serve up a... It's like 7 degrees tonight and the bartender was in underwear and had a sweatshirt. They shouldn't make the ladies wear bikinis or underwear!!!!!! It's..."
10003,"Cozy little bar near Greenwich and east village. A good place to stop in for a beer with friends. They have a good selection and a happy hour of $2 off... I've been here for school happy hours, most recently today with a professor and all his students. It hasn't been great. The bartenders are rude and... We were the only folks in here when they opened. Bartender seemed indifferent about our presence, but nonetheless we made a good time of it. Drinks were..."
10016,I really want to commend Tavern29 for how well they handled our large 20+ party for bottomless brunch this past weekend. They were on time and ready as... Cool place! We sat in a little nook- just the two of us. The restaurant has a couple cool inlets of private seating. Our server was on top of the ball as... They have an okay happy hour. I hate though when a craft beer bar advertises a decent sounding happy hour that does not cater to your dreams. Till 7pm its...
10013,"If you are latino,  I 100% recommend this place. The Line is big to get in because it is a small place. But once you are in you will have a lot of fun, I... This place should be put out of business
. They threatened to call the cops on us because we refused to drink more alcohol. The girls we were with were... Beautiful loud but cozy settings came to celebrate a birthday and glad they picked this place the food was amazing my friends had their cocktails may I say..."
10014,"Perfect date place. The back room has a nice living room set up complete with sofas for lounging, candles and mirrors and art on the wall. It is very... Very nice cozy lounge a little off the beaten path, but worth it. We had labneh, mercimek kofte and zucchini pancakes. Food is excellent. Great atmosphere... A beautifully wine bar with a very homey atmosphere that serves an authentic menu of Turkish selections ranging from chacuterie and kofte sausages. I got..."
10002,"Shade is a really quaint, hole-in-the-wall place tucked away just off NYU's campus. We stopped by for a quick drink right before a comedy show. 

I really... Came here for a drink with friends on a Thursday mid afternoon and we were 6 of about 12 people in there which was nice if you are looking for a little more... Charming bar in the Village not far from W 4. I was here for a reading by a friend, along with a dozen genre fiction writers (aka crime). I didn't have..."
10036,"I've been coming to this place since it's opening and had the pleasure of trying almost all cocktails and most of the items on the menu! The drinks!!!!!!... Dinner for Two:  One cocktail, one lemonade, guac, (cold) elote, five two bite tacos (5 for $20) and churros:  Total bill, $80 before tip. The five sip... Casa del Toro is now my favorite Mexican food place to  go to! I was in the mood for some Tacos and thought I'd  check out this new place. Tacos were really..."
10021,"This is by far my favorite baby class in NYC!! My daughter loves this class; the music is fun, the performers are wonderful, they teach a different ""lesson""... No Review No Review"
10011,"Michael was very attentive- and constantly making sure we had everything we needed! He was very friendly and my family can't wait to come back- thank you! The reason there are so few reviews for this place is because it's called Jake's Saloon, not Jack's. (There are lots more reviews under the correct name).... Came here last Friday during happy hour with my two girl friends. We came in 20 min before 7 and placed our first round of drink orders. The waiter was very..."
10001,"This is the Best Karaoke Place in NYC!!!!! Thr Decor is Fantastic its like you paid to go to an old Radio Museum!!! The rooms are beautifully designed some... Who doesn't love karaoke? 

I frequented this karaoke establishment with a big group for a birthday celebration.

Things that I loved:
1. The staff were... We happened upon Radio Star one Friday night with friends, and compared to other places, the bartenders were friendly, the drinks were strong, and the songs..."
10011,"Bouncer made me throw away my Economist (as if I was going to run around paper cutting everyone inside).

Everyone in my group got in free as we were... Well, a few things - first, here part of a promoter's birthday deal, guys were supposed to be free before 11p. We arrived at 10:30. They didn't open the... Now come on, why would you even mention this place to me? 

Didn't I tell you that between Prime and Guest House, nothing could be worse than that 'hood..."
10012,"My husband and I came here on a Friday night for a ealry Valentine's night out . I would have gave it a 5 stars only for one small issue towards the end of... The food is NOT all that ‍ in my opinion. 
It was just OK. 
Not worth how expensive the bill was. 
My drink on the other hand was delicious! ($17.00)... I'm actually not sure how this place's overall rating isn't higher. I haven't had Jamaican food in a while (probably the last time was Ms. Lily's a few..."
7030,"So I've had myself A DAY - full on quarantine day ppl! Ordered carrot cake from here off Seamless. The gentleman working was nice enough to call me and let... I've gone to MadHatter a few times & i recall the final time that i went there, the wait staff didn't visit my table until i was finished.. I had to call... Extremely disappointed with my experience at Madd Hatter. 

The only positive is that the restaurant itself is pretty nice - indoor and outdoor seating and..."
10010,"SO happy that Molly's has reopened for take-out (the only option while  the Covid19 restrictions are in place).  I stopped by last Saturday afternoon to... Great spot!! Feels very classic New York and there were tons of actual Irish people in the bar so you know it's authentic!

Sat at the bar on a Wednesday... A classic Irish pub complete with sawdust on the floor, Irish music on the jukebox, and a working fireplace. it's a solid spot to grab a pint just based off..."
10014,"We had a reservation and were seated at a perfect back corner banquette/ table by window. 
We took some time with menu and had drinks. 
The dining room is... Catching up on reviews from Pre-Covid times...

Food: 4/5
Ambiance: 3.5/5
Service: 3.5/5
Overall:  I'd come back.  Food was on point in a very cute... Dinner here was superb!
The ambiance is super sexy. The service was amazing - the wait staff was very attentive without being annoying.
The food was delish..."
11211,"Easily one of my favorite bars in NYC- and it's not just because I'm a metalhead! 

As others have said- don't let the decor intimidate you. All are... Best bar I visited in my week stay in NY. Incredible memorabilia for all metal fans. Goatwhore, Suffocation, Mayhem, Amon Amarth have all been here and many... Metal! Metal! Metal! Shout at the Devil!! 

This is hands down NY's metal bar. 

Are you looking for an electric chair, coffin seating, autographed metal..."
10002,"Had brunch here on Saturday with a group of friends. We had the prefixe family style menu and bottomless mimosas, margaritas and strawberry lime rickeys.... OK, this place is downright TERRIBLE!!! 

1. We made a reservation for brunch on the ""rooftop"", but were left standing outside for 5 minutes after our... Have been here twice, both times I used a voucher from Pulsd and ohh man, their food was simply amazing. Portions were huge, and prices were not that high...."
10014,"I have been coming to Henrietta Hudson for nearly 15 years, so I can comfortably say it has become my all time favorite bar.  I wish I could give them more... As much as I want to support the Gay community, this was not the best experience. Visiting NY, and friends suggested stopping in. 

For a small local little... Just a quick update: stopped there few months ago for an overpriced (for the quality of the bar) drink. Went in and went out faster. But had a pleasure to..."
10001,"Omg  talk about classy this is one of my favorite. I love going to places which are unique. This one is beautiful right next to the road and just walk up.... After spending a full day in NYC, I decided to meet a friend here for a quick drink before getting on my train back home to Philly. After not having eaten... Great place to chill and drink. Small, cozy, intimate, peaceful. Good for conversation. You can hear each other speak. Wide, solid selection of whiskey and..."
10009,"I've only bought beer to go here, twice. The first time I remember thinking that their prices are noticeably higher than at other bottle shops in the city... No Review No Review"
11222,"Zach (DJ Kernsy) was the best DJ we could have asked for at our wedding! 

Communication-  Zach was professional and pro-active. He made us feel at ease by... Zach was an amazing DJ and helped us create the perfect wedding day! He was great at communicating and planning all the details leading up to our wedding.... Hired DJ Zach for our anniversary dinner and, boy, were we in for a treat. He kept the music super LIT throughout the evening, delivering smashes one after..."
10018,"Not bad for a night cap, but nothing special for the prices they charge!

Got here on a Saturday night and were greeted by the attendants on the ground... The drinks were solid but the service was lackluster. Waited up to 30 minutes just to be asked if wanted a drink and then our waitress went on  break and... Great rooftop after party on a Sunday funday! Dj was super nice and played awesome, drinks were flowing and New York knows how to party hard! I loved it."
10036,"Drinks are disgusting please order a beer or wine. This restaurant either needs a good bartender or better recipes. I rather pay 15 dollars for a cocktail... Thought I ""discovered"" a gem, but is it? 

It's a nice escape from the busy 6th Ave and 42nd St- but don't kid yourself, it IS a bar/restaurant inside Whole... This bar is inside of Whole Foods. We got the sausage pizza which was delicious. I would want to eat that again. Not sure I would come by if it were out of..."
10002,"This place is great. The music was ON POINT. If you're into hip hop, reggae, soca, dance hall- then this is the place for you! 

The only negative I would... Music was ON POINT

we came all the way from AZ to celebrate my cousins 21st.. and this could not have been a better spot. Drink prices were decent,... I'd heard great things about bOb Bar. A friend of a friend had celebrated her birthday here and raved about the vibes and old school music they played. So..."
10022,"Tao uptown is a popular scene for  both celebrities, locals & tourists. I took my sister here for her birthday lunch and set me back $267 for 3 people. We... I had a really unpleasant interaction with my server.  She asked to see my ID after I ordered a drink and condescendingly told me I needed to get a new one... One star because the building is beautiful. Zero stars for all the food. The fried rice was burnt and they served it anyway. She offered to change it but I..."
10001,"I just got done seeing Sasha spin at Flash Factory. I was thrilled to see in person one of the artists that drew me into the world of electronic dance... What a shite club.

We waited for 60mins after the advertised opening time. Music was terrible, drinks were expensive, and the staff were less than... This is my first time writing a review here on yelp, but I am so disturbed and disgusted about how a specific security guard handled a situation that..."
10016,"We just ordered a quarantine delivery for Cinco de Mayo. Apparently earlier today their entire ordering system went down and the whole place was complete... - Stumbled upon this place by accident
- We walked in without a reservation and were seated pretty quickly
- I love that their kitchen looks like it's... We were seated immediately and given water, which was nice. Ordered two appetizers (guac and ceviche, with chips) to split between three people. For just..."
10001,"Extremely slow on a non sports day.  Came here for a business lunch and besides 3 people at the bar and 1 other table, we were the only ones in the... College Gameday did me a favor 2 years ago by having their show in Times Square. They let me know that there is a restaurant/bar where Alabama alumni gather... The bar is really spacious which is unusual for the area so it is fine if you are just going for drinks. However, the food is definitely a miss. The Mac and..."
10002,"Tried this fun little place last night. It is tiny, but nicely decorated. The staff is tremendously pleasant and the Mermaid Bebop was quite a sweet drink... Fun spot for a night to both chill and socialize. Still lively and the live music and shows on Mondays and Thursdays are a great time. Love it here! Been here for the first time and the owner and people are super chill. I'll let you know the affects of kava in about an hour but so far this..."
10016,"Handcraft is a consistent and reliable go-to. They were always great for cocktails and still are during COVID. Their bottled cocktails don't come with ice... To the people at HandCraft,
You are single-handedly keeping me going during quarantine. Thank you you for the great food and drinks! And thank you for... I live around the corner and they are an awesome local business. They've been serving up delicious cocktails in takeaway containers and the giving great..."
10011,"Low key place to hangout with great selection of beers and Excellent bar food!  The music is good and sometimes there is karaoke nights. Fun times with... Awesome bar, lightening fast drink service 
Managers and bartenders were great 

food: stick to the booze 
Chicken wings --had no spice or kick to... One of my favorite spots when I come to the city. Great atmosphere, great people to chat with over a beer. Highly recommend."
10014,"Review #2  

Love Beatrice Inn. We just had our first delivery order. Just like dining at the restaurant. As always, the Roasted Duck and the Fried Chicken... Roasted duck + kale salad for $60. Such a great deal! It is my first time eating beatrice's food and I have to say I am very very impressed.

Everything I... This review is for delivery. The 45 dry aged Burger I think might be one of my favorites in the city!!  Everything about it is spectacular!!!!  The fried..."
